"branch","ncust","customer","age","ed","employ","address","income","debtinc","creddebt","othdebt","default"
3,3017,11472,30,"Niveau bac",2,3,18,3,0.07236,0.46764,"Oui"
3,3017,11475,59,"Bac+4",20,16,144,3.4,2.492064,2.403936,"Non"
3,3017,11512,34,"Bac+3",5,5,44,5.6,0.744128,1.719872,"Non"
3,3017,11557,33,"Niveau bac",11,6,52,9.1,0.9464,3.7856,"Oui"
3,3017,11661,41,"Bac+5 et plus",7,12,47,5.2,1.635036,0.808964,"Non"
3,3017,11690,36,"Bac+2",2,9,27,9.3,0.735723,1.775277,"Oui"
3,3017,11703,20,"Bac+2",0,0,21,10.2,0.552636,1.589364,"Non"
3,3017,11712,35,"Bac+2",6,5,26,2.5,0.44655,0.20345,"Non"
3,3017,11755,33,"Bac+4",3,4,34,1.2,0.226848,0.181152,"Non"
3,3017,11809,40,"Bac+2",6,6,36,6.6,1.577664,0.798336,"Oui"
3,3017,11852,39,"Bac+2",7,6,82,17.4,3.70968,10.55832,"Non"
3,3017,11859,18,"Bac+2",0,0,12,8.2,0.150552,0.833448,"Oui"
3,3017,11860,66,"Niveau bac",40,17,149,13.1,7.788081,11.730919,"Non"
3,3017,11897,43,"Bac+2",6,6,40,6.6,0.5016,2.1384,"Non"
3,3017,11916,39,"Bac+4",14,8,46,6.5,0.49933,2.49067,"Non"
3,3017,11964,47,"Bac+3",17,13,111,8.8,5.733816,4.034184,"Non"
3,3017,11973,25,"Niveau bac",9,3,25,23.5,0.34075,5.53425,"Oui"
3,3017,11995,57,"Bac+3",7,14,43,20.8,2.495376,6.448624,"Oui"
3,3017,12099,69,"Niveau bac",6,24,60,18.6,1.27224,9.88776,"Non"
3,3017,12104,20,"Bac+3",0,0,22,4.2,0.536844,0.387156,"Oui"
3,3017,12110,42,"Niveau bac",15,7,60,6.1,2.013,1.647,"Non"
3,3017,12149,41,"Bac+2",10,7,29,4.2,0.473802,0.744198,"Non"
3,3017,12157,35,"Bac+3",0,7,36,4.7,0.546516,1.145484,"Non"
3,3017,12239,46,"Bac+3",20,16,122,6.7,2.893596,5.280404,"Non"
3,3017,12382,24,"Bac+4",0,1,27,4.2,0.44226,0.69174,"Non"
3,3017,12439,34,"Bac+3",7,8,43,30.3,3.921729,9.107271,"Oui"
3,3017,12540,36,"Bac+2",7,4,41,18.9,3.17709,4.57191,"Non"
3,3017,12596,19,"Niveau bac",0,0,18,15.1,0.793656,1.924344,"Oui"
3,3017,12638,29,"Bac+5 et plus",1,4,51,1.3,0.281775,0.381225,"Non"
3,3017,12687,44,"Bac+2",7,9,59,8.4,1.769292,3.186708,"Non"
3,3017,12710,19,"Bac+2",0,0,28,11.7,0.822276,2.453724,"Non"
3,3017,12729,39,"Niveau bac",2,9,29,3.7,0.476412,0.596588,"Non"
3,3017,12759,30,"Bac+4",5,5,222,2.9,1.970028,4.467972,"Non"
3,3017,12779,72,"Bac+2",44,13,187,9.2,4.713896,12.490104,"Non"
3,3017,12841,18,"Bac+2",0,0,30,7,0.8085,1.2915,"Oui"
3,3017,12910,28,"Bac+3",7,5,30,8.5,0.459,2.091,"Non"
3,3017,13005,33,"Bac+2",8,4,45,12.1,0.1089,5.3361,"Non"
3,3017,13013,34,"Bac+4",11,4,132,4.7,1.513776,4.690224,"Non"
13,3080,60063,36,"Bac+2",16,4,96,12.2,5.422656,6.289344,"Non"
13,3080,60070,45,"Niveau bac",13,7,65,28.6,10.72643,7.86357,"Oui"
13,3080,60087,59,"Niveau bac",34,26,154,8.5,8.32524,4.76476,"Non"
13,3080,60090,35,"Bac+2",9,1,80,12.9,4.2828,6.0372,"Oui"
13,3080,60112,62,"Bac+4",31,22,387,15,5.39865,52.65135,"Non"
13,3080,60199,29,"Bac+4",1,4,38,4.5,0.82422,0.88578,"Oui"
13,3080,60229,24,"Bac+2",4,1,39,21.5,3.966105,4.418895,"Oui"
13,3080,60237,32,"Bac+3",1,6,45,13.9,1.51371,4.74129,"Oui"
13,3080,60256,25,"Bac+2",6,2,29,5.9,0.636492,1.074508,"Non"
13,3080,60324,27,"Bac+3",1,2,28,23.5,0.81592,5.76408,"Non"
13,3080,60346,56,"Bac+2",37,10,160,11.4,6.76704,11.47296,"Non"
13,3080,60435,59,"Niveau bac",31,15,86,6.8,1.614048,4.233952,"Non"
13,3080,60494,65,"Bac+3",26,16,186,4.2,2.984184,4.827816,"Non"
13,3080,60497,26,"Niveau bac",0,3,29,16.9,3.092531,1.808469,"Oui"
13,3080,60499,27,"Bac+3",3,4,68,24.9,5.231988,11.700012,"Oui"
13,3080,60515,30,"Niveau bac",6,3,22,15.5,0.13299,3.27701,"Oui"
13,3080,60625,43,"Niveau bac",22,13,96,1.2,0.340992,0.811008,"Non"
13,3080,60634,30,"Bac+4",4,5,64,14.1,2.833536,6.190464,"Non"
13,3080,60657,18,"Bac+2",0,0,19,14,0.56392,2.09608,"Oui"
13,3080,60686,24,"Bac+3",1,1,33,14,0.06468,4.55532,"Non"
13,3080,60777,31,"Bac+4",0,6,28,4.5,0.06552,1.19448,"Non"
13,3080,60937,24,"Bac+4",0,2,48,1.2,0.061632,0.514368,"Oui"
13,3080,60942,26,"Bac+3",2,3,37,3.1,0.348688,0.798312,"Non"
13,3080,60944,33,"Bac+2",13,5,54,16.2,2.878092,5.869908,"Oui"
13,3080,60949,18,"Bac+2",0,0,16,6,0.4032,0.5568,"Non"
13,3080,60980,29,"Bac+3",1,2,34,15.5,0.38998,4.88002,"Oui"
13,3080,61081,21,"Bac+3",0,1,27,16.5,1.1583,3.2967,"Non"
13,3080,61231,41,"Bac+2",22,13,54,4.1,0.81918,1.39482,"Non"
13,3080,61255,40,"Bac+4",11,8,238,7.9,6.336274,12.465726,"Non"
13,3080,61272,37,"Niveau bac",5,10,21,14.5,0.71253,2.33247,"Non"
13,3080,61475,24,"Bac+4",0,4,18,2.9,0.184266,0.337734,"Non"
13,3080,61481,18,"Bac+2",0,0,25,2.9,0.561875,0.163125,"Non"
13,3080,61510,30,"Bac+4",5,6,95,7,3.458,3.192,"Non"
13,3080,61536,34,"Niveau bac",14,9,39,11.4,2.71206,1.73394,"Non"
13,3080,61605,63,"Bac+3",8,25,92,5.6,0.886144,4.265856,"Non"
13,3080,61632,56,"Bac+5 et plus",16,19,232,2.8,2.104704,4.391296,"Non"
13,3080,61637,41,"Bac+2",9,8,68,28.3,4.52234,14.72166,"Oui"
13,3080,61638,23,"Bac+4",0,1,53,3,0.62646,0.96354,"Oui"
13,3080,61685,25,"Bac+5 et plus",0,3,32,14.6,1.452992,3.219008,"Oui"
13,3080,61722,22,"Niveau bac",1,1,22,3.2,0.1584,0.5456,"Non"
13,3080,61760,58,"Bac+2",19,9,114,6.4,0.277248,7.018752,"Non"
13,3080,61802,55,"Bac+2",13,11,63,17.5,2.5578,8.4672,"Non"
13,3080,61844,39,"Bac+2",9,5,60,9.2,2.07552,3.44448,"Non"
13,3080,61875,27,"Bac+5 et plus",0,4,30,4.3,0.41925,0.87075,"Non"
13,3080,61920,35,"Bac+2",6,5,32,7.6,0.819584,1.612416,"Non"
13,3080,61946,30,"Bac+4",4,7,30,9.2,0.88872,1.87128,"Non"
13,3080,61952,19,"Bac+2",0,0,23,8.8,1.107128,0.916872,"Non"
13,3080,61972,38,"Bac+4",14,4,98,16.5,1.34211,14.82789,"Non"
13,3080,61980,20,"Bac+2",1,0,19,8,0.78432,0.73568,"Non"
13,3080,62038,43,"Bac+2",14,8,61,10.8,2.17404,4.41396,"Non"
13,3080,62060,25,"Bac+2",2,3,25,9.9,1.3959,1.0791,"Non"
13,3080,62074,41,"Niveau bac",11,5,36,10.2,1.365984,2.306016,"Oui"
13,3080,62109,37,"Bac+3",3,4,36,6.7,0.680184,1.731816,"Non"
13,3080,62155,22,"Niveau bac",0,2,17,3.7,0.135235,0.493765,"Oui"
13,3080,62168,23,"Bac+2",0,3,27,17.6,2.128896,2.623104,"Oui"
13,3080,62184,45,"Bac+4",1,8,60,9.9,1.14048,4.79952,"Oui"
13,3080,62219,19,"Niveau bac",1,0,20,8.8,0.54736,1.21264,"Non"
13,3080,62223,26,"Bac+2",6,3,23,13.6,0.128248,2.999752,"Non"
13,3080,62380,28,"Bac+3",1,3,16,5.2,0.501696,0.330304,"Non"
13,3080,62399,37,"Niveau bac",18,8,36,4.8,0.44064,1.28736,"Non"
13,3080,62534,39,"Bac+3",4,9,78,14,7.2072,3.7128,"Oui"
13,3080,62545,25,"Bac+3",2,2,19,3.4,0.187986,0.458014,"Non"
13,3080,62573,26,"Bac+5 et plus",0,4,19,7.7,0.67298,0.79002,"Non"
13,3080,62602,24,"Niveau bac",8,2,28,6.6,0.262416,1.585584,"Non"
13,3080,62610,61,"Niveau bac",0,10,42,18.4,4.010832,3.717168,"Non"
13,3080,62637,26,"Bac+2",6,2,38,10.6,2.569864,1.458136,"Non"
13,3080,62691,41,"Bac+2",21,8,189,6.3,6.215454,5.691546,"Non"
13,3080,62693,49,"Bac+3",9,16,64,6.1,0.33184,3.57216,"Non"
13,3080,62744,18,"Niveau bac",0,0,20,3.9,0.3705,0.4095,"Non"
13,3080,62792,52,"Bac+4",2,12,96,7.1,2.276544,4.539456,"Oui"
13,3080,62835,27,"Bac+2",6,5,42,9.1,2.186184,1.635816,"Oui"
13,3080,62863,29,"Bac+4",3,3,46,8.1,0.290628,3.435372,"Non"
13,3080,62867,73,"Bac+2",53,25,410,4.1,3.10985,13.70015,"Non"
13,3080,62923,31,"Bac+4",3,5,22,4.6,0.226688,0.785312,"Non"
13,3080,62975,19,"Bac+2",0,0,28,9.1,0.86632,1.68168,"Oui"
13,3080,63023,57,"Bac+2",4,9,39,4.3,0.558441,1.118559,"Non"
13,3080,63041,18,"Bac+2",0,0,19,1.5,0.061845,0.223155,"Non"
13,3080,63054,22,"Niveau bac",1,1,19,8.9,0.488699,1.202301,"Non"
13,3080,63055,21,"Bac+2",0,1,30,4.3,0.17544,1.11456,"Non"
13,3080,63071,33,"Bac+3",4,4,60,9.5,1.6074,4.0926,"Non"
15,4809,70016,21,"Bac+3",0,1,41,23.4,1.96677,7.62723,"Oui"
15,4809,70065,42,"Bac+3",18,15,63,11.3,2.541483,4.577517,"Non"
15,4809,70093,32,"Bac+3",10,5,38,11.5,1.0488,3.3212,"Non"
15,4809,70186,73,"Niveau bac",50,34,289,8.4,7.841148,16.434852,"Non"
15,4809,70221,61,"Bac+4",23,20,81,8.9,1.701324,5.507676,"Non"
15,4809,70248,38,"Bac+5 et plus",2,8,229,6.7,3.943151,11.399849,"Non"
15,4809,70269,46,"Bac+3",13,11,45,22.2,3.32667,6.66333,"Oui"
15,4809,70325,20,"Bac+3",0,0,20,7.2,0.34272,1.09728,"Oui"
15,4809,70403,19,"Bac+2",0,0,24,15.6,0.7488,2.9952,"Oui"
15,4809,70412,28,"Bac+4",0,4,47,18.6,6.705114,2.036886,"Oui"
15,4809,70430,24,"Bac+4",0,2,21,6.6,0.57519,0.81081,"Oui"
15,4809,70522,53,"Niveau bac",1,12,30,8.8,0.4092,2.2308,"Non"
15,4809,70525,35,"Bac+2",14,7,62,8.2,0.604996,4.479004,"Non"
15,4809,70548,43,"Bac+2",7,11,53,3.7,0.853035,1.107965,"Non"
15,4809,70553,32,"Niveau bac",9,6,33,8.1,1.154736,1.518264,"Non"
15,4809,70558,27,"Niveau bac",9,1,28,5.7,0.110124,1.485876,"Non"
15,4809,70673,19,"Bac+2",0,0,31,28.7,5.364891,3.532109,"Oui"
15,4809,70687,18,"Bac+2",0,0,36,6.2,1.051272,1.180728,"Oui"
15,4809,70710,54,"Bac+2",20,15,82,20,4.346,12.054,"Non"
15,4809,70770,43,"Bac+3",0,4,31,2.4,0.284952,0.459048,"Non"
15,4809,70886,26,"Niveau bac",10,3,31,8.8,0.780208,1.947792,"Non"
15,4809,70888,35,"Bac+2",4,2,57,6,1.28934,2.13066,"Non"
15,4809,70907,47,"Bac+2",6,12,34,4.4,0.526592,0.969408,"Non"
15,4809,70938,31,"Bac+5 et plus",2,5,19,15.9,0.93651,2.08449,"Non"
15,4809,71175,56,"Bac+4",14,25,206,27.9,15.288084,42.185916,"Oui"
15,4809,71270,18,"Bac+2",0,0,18,12.7,0.646938,1.639062,"Oui"
15,4809,71417,46,"Bac+2",24,10,78,6.9,2.74482,2.63718,"Non"
15,4809,71424,31,"Bac+2",2,6,45,3.1,0.431055,0.963945,"Non"
15,4809,71431,25,"Bac+2",1,1,16,2.1,0.145488,0.190512,"Non"
15,4809,71439,79,"Niveau bac",63,18,497,8.2,15.07898,25.67502,"Non"
15,4809,71522,43,"Bac+3",21,14,125,11.5,6.325,8.05,"Non"
15,4809,71630,26,"Bac+3",1,4,36,12.5,1.593,2.907,"Non"
15,4809,71699,18,"Niveau bac",0,0,28,17,1.75168,3.00832,"Oui"
15,4809,71730,30,"Bac+2",0,4,25,7.4,0.2627,1.5873,"Non"
15,4809,71758,18,"Bac+2",0,0,35,12.4,1.1284,3.2116,"Non"
15,4809,71761,30,"Niveau bac",13,3,38,4.6,0.335616,1.412384,"Non"
15,4809,71782,21,"Bac+3",0,1,25,6.7,1.291425,0.383575,"Oui"
15,4809,71784,33,"Bac+4",4,9,119,15.3,6.572727,11.634273,"Oui"
15,4809,71812,36,"Bac+2",3,6,28,4.9,0.256564,1.115436,"Non"
15,4809,71817,26,"Bac+2",7,3,49,17.7,5.37726,3.29574,"Oui"
15,4809,71896,20,"Bac+3",0,0,21,1.3,0.180999,0.092001,"Oui"
15,4809,72021,56,"Bac+2",19,8,76,1.2,0.1824,0.7296,"Non"
15,4809,72023,42,"Bac+4",7,12,130,11.6,3.33268,11.74732,"Oui"
15,4809,72147,23,"Bac+4",0,3,47,8.9,0.623267,3.559733,"Non"
15,4809,72213,32,"Bac+3",3,8,86,7.9,2.201256,4.592744,"Non"
15,4809,72221,20,"Bac+3",0,0,30,10.6,2.53446,0.64554,"Oui"
15,4809,72307,26,"Bac+2",1,0,26,11.1,1.694082,1.191918,"Oui"
15,4809,72327,19,"Bac+2",0,0,20,0.1,0.00894,0.01106,"Oui"
15,4809,72385,59,"Bac+3",31,21,102,0.3,0.104958,0.201042,"Non"
15,4809,72447,21,"Bac+3",0,1,13,8.3,0.45318,0.62582,"Oui"
15,4809,72506,39,"Bac+4",14,6,152,27.4,13.410656,28.237344,"Oui"
15,4809,72584,18,"Bac+2",0,0,12,3.3,0.110088,0.285912,"Oui"
15,4809,72633,20,"Bac+2",0,0,38,7.5,0.3648,2.4852,"Non"
15,4809,72635,33,"Bac+4",1,6,23,4.2,0.194166,0.771834,"Oui"
15,4809,72704,19,"Niveau bac",1,0,16,3.4,0.306816,0.237184,"Oui"
15,4809,72756,29,"Bac+3",5,5,52,16.8,5.63472,3.10128,"Non"
15,4809,72803,70,"Bac+3",48,25,165,14.8,0.56166,23.85834,"Non"
15,4809,72806,44,"Niveau bac",22,8,93,9,4.37751,3.99249,"Non"
15,4809,72954,43,"Bac+2",8,11,48,9.7,1.317648,3.338352,"Non"
15,4809,73016,27,"Bac+2",3,4,28,4.2,0.537432,0.638568,"Non"
15,4809,73188,29,"Bac+2",3,5,45,14.1,1.681425,4.663575,"Oui"
15,4809,73525,41,"Bac+2",2,10,40,7.9,0.30968,2.85032,"Non"
15,4809,73537,28,"Bac+4",5,3,30,7,0.462,1.638,"Non"
15,4809,73591,48,"Bac+2",5,10,43,6.9,2.263821,0.703179,"Oui"
15,4809,73703,41,"Bac+2",3,7,62,7,2.8861,1.4539,"Oui"
15,4809,73741,22,"Bac+2",1,2,24,16.1,0.795984,3.068016,"Non"
15,4809,73907,28,"Bac+5 et plus",0,4,50,8.6,0.2795,4.0205,"Non"
15,4809,73999,41,"Bac+2",5,8,37,5.8,0.345506,1.800494,"Non"
15,4809,74006,31,"Bac+2",2,7,42,10.3,0.856548,3.469452,"Oui"
15,4809,74096,19,"Bac+2",0,0,21,14.3,1.219218,1.783782,"Non"
15,4809,74136,31,"Bac+3",1,7,28,2,0.17416,0.38584,"Non"
15,4809,74169,18,"Bac+2",0,0,21,21.8,1.44207,3.13593,"Oui"
15,4809,74209,39,"Bac+2",5,5,39,4.2,0.719082,0.918918,"Non"
15,4809,74272,31,"Bac+4",8,4,29,6.8,1.118124,0.853876,"Non"
15,4809,74287,23,"Niveau bac",3,1,41,5.5,0.674245,1.580755,"Non"
15,4809,74372,25,"Bac+3",3,3,58,20.6,3.500764,8.447236,"Non"
15,4809,74378,29,"Bac+4",3,1,47,2.9,0.53157,0.83143,"Non"
15,4809,74394,38,"Bac+3",15,4,136,20.2,6.758112,20.713888,"Oui"
15,4809,74471,39,"Niveau bac",8,9,41,0.1,0.026896,0.014104,"Non"
15,4809,74498,28,"Bac+4",4,4,20,15.5,0.3038,2.7962,"Oui"
15,4809,74589,61,"Niveau bac",45,22,209,10.9,4.123361,18.657639,"Non"
15,4809,74658,49,"Bac+4",18,13,182,4.8,0.943488,7.792512,"Non"
15,4809,74677,71,"Bac+2",35,19,131,11.6,6.032812,9.163188,"Non"
20,4650,95009,20,"Niveau bac",2,0,20,2.7,0.20088,0.33912,"Oui"
20,4650,95034,20,"Bac+3",0,0,20,11.3,1.96168,0.29832,"Oui"
20,4650,95066,32,"Bac+5 et plus",3,6,59,9,1.85319,3.45681,"Non"
20,4650,95138,42,"Bac+3",2,13,22,13.6,1.463088,1.528912,"Oui"
20,4650,95177,43,"Bac+3",9,9,57,4.5,1.808325,0.756675,"Non"
20,4650,95204,23,"Bac+2",3,2,66,2.7,0.79299,0.98901,"Non"
20,4650,95209,21,"Bac+2",1,0,33,13.1,1.314192,3.008808,"Oui"
20,4650,95220,49,"Bac+3",24,11,90,13.9,8.05644,4.45356,"Non"
20,4650,95372,19,"Bac+2",0,0,28,9.7,1.347136,1.368864,"Oui"
20,4650,95384,24,"Bac+4",0,2,21,11,0.71841,1.59159,"Oui"
20,4650,95388,23,"Bac+4",0,1,30,12.8,2.29632,1.54368,"Oui"
20,4650,95450,43,"Bac+3",13,9,82,9.9,1.777842,6.340158,"Non"
20,4650,95481,28,"Bac+2",8,3,22,5.4,0.165132,1.022868,"Non"
20,4650,95530,26,"Bac+4",2,3,36,14.4,1.89216,3.29184,"Oui"
20,4650,95541,40,"Bac+4",7,11,33,12.4,0.646536,3.445464,"Non"
20,4650,95633,19,"Bac+2",0,0,22,16.8,1.637328,2.058672,"Oui"
20,4650,95641,71,"Niveau bac",18,27,57,11.5,2.58267,3.97233,"Non"
20,4650,95723,72,"Bac+4",26,24,146,12.6,2.11554,16.28046,"Non"
20,4650,95739,45,"Bac+2",1,10,43,2.8,0.384076,0.819924,"Non"
20,4650,95833,20,"Bac+3",0,0,29,17,1.93256,2.99744,"Oui"
20,4650,95858,42,"Bac+2",7,8,47,7.8,1.019148,2.646852,"Non"
20,4650,95998,42,"Bac+2",19,8,63,20.4,5.307876,7.544124,"Non"
20,4650,96001,20,"Bac+3",0,0,28,10.4,0.93184,1.98016,"Oui"
20,4650,96037,20,"Bac+3",0,0,20,13.5,0.5913,2.1087,"Non"
20,4650,96088,34,"Bac+3",11,5,68,11.9,3.366272,4.725728,"Non"
20,4650,96167,61,"Niveau bac",7,22,35,10.4,0.69524,2.94476,"Non"
20,4650,96228,39,"Bac+4",12,9,82,6.2,1.789568,3.294432,"Non"
20,4650,96253,26,"Bac+3",5,2,25,10.8,1.1286,1.5714,"Non"
20,4650,96263,62,"Bac+3",12,10,108,7.3,1.3797,6.5043,"Non"
20,4650,96479,48,"Bac+2",17,8,81,30,11.6397,12.6603,"Oui"
20,4650,96521,39,"Bac+3",17,9,165,3.3,2.553705,2.891295,"Non"
20,4650,96536,51,"Niveau bac",33,13,234,9.6,4.245696,18.218304,"Non"
20,4650,96611,31,"Bac+3",4,6,43,6.9,0.658674,2.308326,"Non"
20,4650,96627,45,"Bac+3",19,7,286,5,4.5331,9.7669,"Non"
20,4650,96732,28,"Bac+2",9,3,36,3.2,0.089856,1.062144,"Non"
20,4650,97000,61,"Bac+2",22,6,108,22.2,6.041952,17.934048,"Non"
20,4650,97045,24,"Bac+2",5,3,31,10.4,0.699608,2.524392,"Non"
20,4650,97048,45,"Niveau bac",12,10,44,9.8,1.59544,2.71656,"Non"
20,4650,97173,19,"Bac+2",0,0,25,3.9,0.68055,0.29445,"Oui"
20,4650,97191,28,"Bac+2",2,5,26,23.6,0.73632,5.39968,"Oui"
20,4650,97247,40,"Bac+4",3,10,35,10,1.085,2.415,"Oui"
20,4650,97289,25,"Bac+4",1,1,27,14.2,0.456246,3.377754,"Non"
20,4650,97355,40,"Bac+3",15,4,78,15.5,3.51819,8.57181,"Non"
20,4650,97357,37,"Bac+5 et plus",1,10,90,1.8,0.25434,1.36566,"Non"
20,4650,97402,56,"Bac+2",35,14,236,3.9,6.682104,2.521896,"Non"
20,4650,97548,33,"Bac+3",8,4,102,28.8,7.93152,21.44448,"Oui"
20,4650,97595,66,"Bac+3",30,22,104,6.7,2.285504,4.682496,"Non"
20,4650,97629,18,"Bac+2",0,0,28,9.9,1.047816,1.724184,"Non"
20,4650,97815,52,"Bac+3",28,23,108,3.9,2.2113,2.0007,"Non"
20,4650,97911,51,"Bac+2",3,14,19,4.9,0.340746,0.590254,"Non"
20,4650,97992,34,"Bac+2",6,4,45,9.1,1.3104,2.7846,"Non"
20,4650,98023,19,"Bac+2",0,0,18,6.3,0.259686,0.874314,"Non"
20,4650,98041,52,"Niveau bac",33,12,80,9,1.0584,6.1416,"Non"
20,4650,98114,24,"Niveau bac",2,2,29,23.6,0.465392,6.378608,"Non"
20,4650,98144,35,"Bac+4",5,4,47,16.1,3.17814,4.38886,"Oui"
20,4650,98195,29,"Bac+4",1,4,50,15.1,2.6727,4.8773,"Oui"
20,4650,98277,47,"Bac+2",10,10,48,7,1.97568,1.38432,"Non"
20,4650,98410,26,"Bac+3",4,4,50,0.8,0.1324,0.2676,"Non"
20,4650,98648,19,"Bac+2",0,0,36,6.7,0.890028,1.521972,"Non"
20,4650,98678,51,"Bac+2",28,20,134,4.1,1.752586,3.741414,"Non"
20,4650,98849,46,"Niveau bac",13,12,94,15.7,8.308754,6.449246,"Oui"
20,4650,98854,23,"Bac+3",1,1,30,13.6,2.04,2.04,"Oui"
20,4650,98855,19,"Bac+2",0,0,20,5.6,0.15568,0.96432,"Oui"
20,4650,98961,23,"Bac+2",3,1,27,17.8,0.927558,3.878442,"Oui"
20,4650,98987,21,"Bac+3",0,0,35,6.8,0.90916,1.47084,"Oui"
20,4650,99058,20,"Bac+3",0,0,35,5.8,0.76125,1.26875,"Non"
20,4650,99139,23,"Bac+4",0,2,36,1.1,0.10494,0.29106,"Non"
20,4650,99161,46,"Bac+3",2,14,27,12.1,0.545589,2.721411,"Non"
20,4650,99306,43,"Bac+2",20,8,180,7.3,4.2048,8.9352,"Non"
20,4650,99337,27,"Bac+2",5,3,28,5.2,0.496496,0.959504,"Non"
20,4650,99378,22,"Bac+3",1,2,27,9.8,0.246078,2.399922,"Non"
20,4650,99388,41,"Bac+2",13,7,50,14.2,3.7204,3.3796,"Oui"
20,4650,99436,20,"Bac+3",0,0,45,7.7,1.14345,2.32155,"Oui"
20,4650,99476,68,"Bac+2",0,17,22,12.5,1.0505,1.6995,"Non"
20,4650,99524,31,"Bac+4",0,7,41,3.8,1.11397,0.44403,"Non"
20,4650,99592,54,"Bac+2",2,21,32,6.7,0.173664,1.970336,"Non"
20,4650,99634,32,"Bac+2",12,6,61,8.2,0.295118,4.706882,"Non"
25,3491,120070,27,"Bac+2",4,2,34,15.1,0.836842,4.297158,"Non"
25,3491,120117,47,"Bac+2",13,19,58,3.5,0.61915,1.41085,"Non"
25,3491,120174,69,"Bac+4",7,20,75,13.5,1.03275,9.09225,"Oui"
25,3491,120175,45,"Bac+2",7,8,32,5.4,0.1296,1.5984,"Non"
